Flight_ID,Airline,Origin,Destination,Departure_Date,Seat_Class,Days_to_Departure,Layovers,Layover_Airport1,Layover_Airport2,Price
FL00036,SkyWest Airlines,SFO,ATL,22-05-2024,Economy,112,0,NA,NA,678.33
FL00037,Endeavor Air,MIA,LAS,25-06-2024,Economy,38,0,NA,NA,339.03
FL00038,Spirit Airlines,ATL,IAH,27-05-2024,Economy,3,1,ORD,NA,627.72
FL00039,Republic Airways,SEA,DEN,20-10-2024,Economy,45,0,NA,NA,915.94
FL00040,Hawaiian Airlines,DCA,ORD,10-05-2024,Business,79,1,EWR,NA,785.57
FL00041,JetBlue,DCA,MIA,12-12-2024,Economy,67,0,NA,NA,373.4
FL00042,Spirit Airlines,DEN,DFW,01-03-2024,Business,76,0,NA,NA,957.42
FL00043,JetBlue,EWR,DTW,13-08-2024,Business,179,1,SEA,NA,565.62
FL00044,Republic Airways,BWI,MIA,16-09-2024,Business,130,1,SFO,NA,844.38
FL00045,Alaska Airlines,BWI,DCA,04-10-2024,Business,179,2,LAS,SEA,908.48
FL00046,SkyWest Airlines,DFW,LAX,19-03-2024,Business,124,2,DEN,DCA,932.41
FL00047,Delta,BWI,MCO,19-06-2024,Economy,84,1,DCA,NA,624.26
FL00048,JetBlue,DEN,DTW,22-11-2024,Economy,125,0,NA,NA,241.72
FL00049,Frontier Airlines,LAX,DFW,25-12-2024,First Class,111,0,NA,NA,787.28
FL00050,Hawaiian Airlines,LAX,SFO,10-11-2024,Economy,170,0,NA,NA,374.74
FL00051,Delta,CLT,SFO,20-07-2024,Economy,99,2,LAX,DEN,677.54
FL00052,American Airlines,DFW,MCO,23-11-2024,First Class,62,1,ATL,NA,1432.35
FL00053,SkyWest Airlines,CLT,ORD,16-04-2024,Business,57,0,NA,NA,946.77
FL00054,Republic Airways,ORD,BWI,26-08-2024,Economy,168,0,NA,NA,479.4
FL00055,SkyWest Airlines,DCA,PHX,01-03-2024,First Class,36,0,NA,NA,1076.36
FL00056,Alaska Airlines,MIA,ORD,02-10-2024,First Class,64,2,SFO,DTW,1583.91
FL00057,JetBlue,LAS,DCA,05-04-2024,First Class,101,2,ORD,DEN,1680.86
FL00058,SkyWest Airlines,BWI,IAH,14-07-2024,First Class,74,2,DTW,ORD,2031.08
FL00059,Endeavor Air,BWI,IAH,15-09-2024,First Class,39,2,LAS,DEN,1174.23
FL00060,Hawaiian Airlines,LAS,IAH,17-08-2024,Economy,148,1,SFO,NA,379.51
FL00061,Southwest,DFW,IAH,09-10-2024,First Class,159,0,NA,NA,1056.91
FL00062,Alaska Airlines,MDW,LAX,27-07-2024,First Class,69,0,NA,NA,1923.92
FL00063,Republic Airways,EWR,DEN,28-12-2024,Business,178,1,DTW,NA,686.37
FL00064,Frontier Airlines,DFW,ATL,05-06-2024,Business,13,0,NA,NA,526.47
FL00065,Alaska Airlines,LAX,ATL,27-11-2024,Business,105,0,NA,NA,588.26
FL00066,Alaska Airlines,EWR,IAH,29-08-2024,First Class,45,0,NA,NA,1817.89
FL00067,Spirit Airlines,DEN,DTW,10-02-2025,First Class,36,0,NA,NA,1167.24
FL00068,American Airlines,ORD,MDW,05-01-2025,Business,168,0,NA,NA,821.34
FL00069,Alaska Airlines,PHX,MDW,08-11-2024,Economy,10,0,NA,NA,951.97
FL00070,Delta,MIA,BWI,15-12-2024,Economy,153,0,NA,NA,584.1
FL00071,American Airlines,DTW,DEN,22-07-2024,Business,174,2,SFO,PHX,833.94
FL00072,Delta,EWR,DFW,14-01-2025,First Class,47,1,MIA,NA,1872.63
FL00073,Southwest,IAH,MIA,07-05-2024,Business,32,0,NA,NA,1069.28
FL00074,JetBlue,LAS,ATL,05-05-2024,First Class,43,0,NA,NA,1482.27
FL00075,Alaska Airlines,DTW,DFW,26-09-2024,Economy,158,1,MIA,NA,406.34
FL00076,United,SEA,BOS,28-07-2024,First Class,119,0,NA,NA,1405.99
FL00077,SkyWest Airlines,BWI,SEA,19-06-2024,First Class,38,0,NA,NA,1600.06
FL00078,Southwest,DEN,DCA,25-08-2024,Business,128,1,BOS,NA,557.97
FL00079,Alaska Airlines,SFO,MCO,30-03-2024,First Class,180,1,MIA,NA,1088.67
FL00080,SkyWest Airlines,BWI,MCO,26-01-2025,First Class,54,0,NA,NA,1727.79
FL00081,SkyWest Airlines,CLT,JFK,22-09-2024,Economy,39,0,NA,NA,440.77
FL00082,Spirit Airlines,BWI,BOS,30-03-2024,Economy,73,0,NA,NA,375.5
FL00083,United,EWR,PHX,07-03-2024,Business,58,0,NA,NA,831.18
FL00084,Frontier Airlines,MIA,IAH,24-10-2024,Business,156,0,NA,NA,431.46
FL00085,Hawaiian Airlines,LAX,IAH,18-04-2024,Economy,77,1,BOS,NA,501.83
FL00086,SkyWest Airlines,PHX,MDW,19-07-2024,Economy,22,1,CLT,NA,949.68
FL00087,United,DFW,ATL,07-10-2024,First Class,180,1,EWR,NA,1370
FL00088,Spirit Airlines,DFW,MIA,06-10-2024,Business,155,0,NA,NA,627.65
FL00089,United,LAX,SFO,08-12-2024,Economy,154,1,DFW,NA,841.56
FL00090,Spirit Airlines,JFK,EWR,18-05-2024,Business,96,2,ORD,LAS,1152.22
FL00091,Alaska Airlines,SFO,JFK,16-01-2025,Business,7,2,MDW,DTW,1569.72
FL00092,Endeavor Air,ATL,PHX,03-03-2024,First Class,72,1,EWR,NA,1516.83
FL00093,JetBlue,IAH,JFK,14-04-2024,First Class,166,1,MCO,NA,940.04
FL00094,JetBlue,SEA,LAX,24-07-2024,First Class,28,1,PHX,NA,1898.49
FL00095,Frontier Airlines,DTW,ATL,01-06-2024,First Class,26,1,BWI,NA,1601.98
FL00096,United,DFW,SEA,15-01-2025,Economy,93,1,LAX,NA,911.1
FL00097,Endeavor Air,JFK,DFW,29-09-2024,Business,33,0,NA,NA,1078.13
FL00098,Delta,DTW,MIA,25-07-2024,Business,170,0,NA,NA,552.03
FL00099,Endeavor Air,JFK,BWI,04-03-2024,Economy,72,0,NA,NA,187.72
FL00100,Hawaiian Airlines,LAS,MDW,11-10-2024,First Class,26,0,NA,NA,1883.27
FL00101,Delta,IAH,MCO,08-03-2024,Economy,54,2,SEA,DFW,1142.02
FL00102,Endeavor Air,JFK,DTW,17-03-2024,Economy,156,1,LAX,NA,286.62
FL00103,Alaska Airlines,CLT,BOS,25-04-2024,First Class,57,1,ORD,NA,1565.48
FL00104,Hawaiian Airlines,DCA,LAS,27-05-2024,Business,11,2,SFO,ATL,1341
FL00105,Southwest,SEA,DFW,24-09-2024,Economy,103,0,NA,NA,386.43
FL00106,American Airlines,ORD,BOS,26-12-2024,First Class,12,2,LAS,DFW,1954.36
FL00107,Alaska Airlines,BOS,EWR,29-01-2025,First Class,154,2,DCA,MDW,1212.25
FL00108,United,BOS,PHX,03-06-2024,Economy,139,1,LAX,NA,652.43
FL00109,Frontier Airlines,LAS,SFO,15-08-2024,Economy,169,1,PHX,NA,585.12
FL00110,United,DEN,ATL,02-05-2024,Business,35,0,NA,NA,1022.67
FL00111,Frontier Airlines,MDW,SEA,26-03-2024,Business,18,0,NA,NA,1129.07
FL00112,American Airlines,DCA,SEA,20-08-2024,Economy,104,0,NA,NA,273.14
FL00113,Spirit Airlines,ATL,DCA,09-03-2024,Business,94,2,DEN,PHX,872.86
FL00114,Republic Airways,LAX,SFO,29-08-2024,First Class,122,1,IAH,NA,1154.33
FL00115,Spirit Airlines,BWI,MIA,17-10-2024,Economy,93,1,ATL,NA,993.49
FL00116,Spirit Airlines,IAH,PHX,03-05-2024,Economy,51,1,LAS,NA,908.01
FL00117,Endeavor Air,EWR,CLT,10-11-2024,First Class,47,0,NA,NA,1707.44
FL00118,Alaska Airlines,JFK,IAH,24-10-2024,Economy,54,0,NA,NA,786.38
FL00119,Spirit Airlines,SEA,BOS,03-02-2025,Business,152,0,NA,NA,740.16
FL00120,Republic Airways,BOS,CLT,25-07-2024,Economy,33,0,NA,NA,370.41
FL00121,Endeavor Air,MDW,DTW,06-08-2024,Economy,148,0,NA,NA,316.95
FL00122,JetBlue,MCO,ORD,19-11-2024,First Class,85,2,SEA,BOS,1620.09
FL00123,Alaska Airlines,DFW,ATL,14-01-2025,Economy,174,1,DEN,NA,527.83
FL00124,Frontier Airlines,MDW,BOS,01-10-2024,Economy,108,0,NA,NA,810.94
FL00125,JetBlue,ATL,DFW,13-07-2024,First Class,5,1,SEA,NA,1693.27
FL00126,Spirit Airlines,MIA,EWR,21-01-2025,First Class,136,1,ATL,NA,1427.48
FL00127,Republic Airways,PHX,SFO,07-05-2024,Economy,122,0,NA,NA,138.88
FL00128,Southwest,DCA,BWI,22-07-2024,Economy,127,1,DFW,NA,253.28
FL00129,Hawaiian Airlines,ORD,BOS,23-07-2024,First Class,33,1,DCA,NA,1290.7
FL00130,Hawaiian Airlines,EWR,SFO,22-03-2024,First Class,68,1,MDW,NA,1307.14
FL00131,United,MDW,ORD,28-07-2024,Business,95,0,NA,NA,915.64
FL00132,SkyWest Airlines,MIA,CLT,18-12-2024,Economy,132,1,DTW,NA,609.38
FL00133,Spirit Airlines,DEN,BWI,03-04-2024,First Class,140,2,EWR,DCA,1300.02
FL00134,Alaska Airlines,BOS,JFK,20-05-2024,Economy,59,0,NA,NA,279.48
FL00135,Endeavor Air,SFO,EWR,01-03-2024,First Class,83,0,NA,NA,1252.64
FL00136,SkyWest Airlines,LAX,PHX,05-03-2024,First Class,62,0,NA,NA,1265
FL00137,Spirit Airlines,DCA,PHX,07-11-2024,Economy,173,0,NA,NA,112.39
FL00138,Delta,BWI,SEA,08-12-2024,Economy,20,2,JFK,DTW,924.3
FL00139,United,JFK,ORD,18-11-2024,First Class,112,1,ATL,NA,1700.26
FL00140,Frontier Airlines,LAX,MDW,10-12-2024,Business,2,0,NA,NA,983.78
FL00141,Southwest,MCO,JFK,05-02-2025,First Class,39,0,NA,NA,1477
FL00142,Spirit Airlines,DCA,MIA,29-11-2024,Economy,161,0,NA,NA,330.95
FL00143,Southwest,DCA,CLT,29-10-2024,First Class,148,1,MIA,NA,998.85
FL00144,American Airlines,BOS,MIA,22-05-2024,Economy,113,0,NA,NA,149.72
FL00145,Frontier Airlines,ORD,IAH,01-07-2024,First Class,50,0,NA,NA,1632.21
FL00146,Southwest,CLT,LAS,12-08-2024,First Class,131,1,ORD,NA,1749.36
FL00147,SkyWest Airlines,DEN,MDW,02-02-2025,First Class,62,0,NA,NA,1713.55
FL00148,Frontier Airlines,JFK,SEA,04-01-2025,Economy,98,0,NA,NA,477
FL00149,Alaska Airlines,DTW,MDW,25-05-2024,Business,17,0,NA,NA,1041.28
FL00150,Republic Airways,ORD,SEA,07-05-2024,Business,46,1,MCO,NA,1288.21
FL00151,Southwest,EWR,BWI,14-04-2024,First Class,160,0,NA,NA,1275.91
FL00152,Frontier Airlines,IAH,PHX,02-11-2024,Economy,151,0,NA,NA,583.43
FL00153,United,MIA,SFO,12-04-2024,Business,69,2,ORD,LAS,986.55
FL00154,Southwest,LAX,JFK,15-03-2024,First Class,55,2,CLT,BOS,2437.65
FL00155,Southwest,ATL,BOS,09-11-2024,Economy,93,1,MIA,NA,725.31
FL00156,Hawaiian Airlines,DCA,IAH,15-01-2025,Economy,121,0,NA,NA,476.94
FL00157,Alaska Airlines,BWI,DEN,16-05-2024,First Class,120,1,ATL,NA,904.7
FL00158,American Airlines,JFK,PHX,02-04-2024,First Class,156,0,NA,NA,590.75
FL00159,Endeavor Air,EWR,DCA,14-05-2024,Business,159,2,MIA,MDW,658.12
FL00160,Republic Airways,PHX,BOS,14-11-2024,Economy,89,1,SEA,NA,657.41
FL00161,Southwest,MCO,DFW,05-04-2024,Economy,173,2,EWR,MIA,374.59
FL00162,Republic Airways,DEN,ORD,19-08-2024,Economy,164,0,NA,NA,521.9
FL00163,SkyWest Airlines,JFK,MCO,14-01-2025,Business,23,1,SFO,NA,1615.56
FL00164,Spirit Airlines,ATL,MIA,08-09-2024,First Class,107,0,NA,NA,1451.81
FL00165,Frontier Airlines,DTW,DCA,28-12-2024,Business,9,1,PHX,NA,1501.97
FL00166,JetBlue,DFW,PHX,27-04-2024,Business,57,2,CLT,LAX,1660.15
FL00167,Delta,ORD,ATL,12-05-2024,First Class,93,1,DCA,NA,1358.02
FL00168,Republic Airways,DTW,DFW,01-01-2025,Business,37,0,NA,NA,697.83
FL00169,Alaska Airlines,MIA,LAS,21-07-2024,Economy,66,0,NA,NA,964.06
FL00170,SkyWest Airlines,EWR,BWI,16-04-2024,First Class,127,1,IAH,NA,1183.33
FL00171,Frontier Airlines,SFO,SEA,04-09-2024,First Class,106,0,NA,NA,1236.41
FL00172,Hawaiian Airlines,DTW,MCO,28-05-2024,Business,87,0,NA,NA,1073.17
FL00173,Endeavor Air,DCA,LAX,02-02-2025,First Class,31,2,BOS,MCO,2529.17
FL00174,Southwest,BOS,LAS,11-07-2024,Business,25,0,NA,NA,1120.63
FL00175,JetBlue,DCA,DEN,04-10-2024,First Class,177,0,NA,NA,912.73
FL00176,Spirit Airlines,DCA,IAH,31-12-2024,Economy,2,0,NA,NA,643.51
FL00177,American Airlines,LAX,EWR,12-02-2025,Economy,51,2,DCA,CLT,683.15
FL00178,Frontier Airlines,EWR,PHX,26-12-2024,Business,105,2,SFO,ORD,1097.35
FL00179,Frontier Airlines,DCA,BWI,10-02-2025,Economy,84,1,LAS,NA,611.65
FL00180,Endeavor Air,IAH,DFW,26-08-2024,Economy,102,1,SEA,NA,251.08
FL00181,SkyWest Airlines,DCA,MIA,13-09-2024,First Class,59,2,EWR,SEA,1748.78
FL00182,Frontier Airlines,CLT,LAS,24-03-2024,Economy,160,0,NA,NA,167.96
FL00183,Delta,SFO,LAX,12-08-2024,Economy,86,0,NA,NA,538.14
FL00184,JetBlue,MIA,LAS,30-01-2025,Business,130,0,NA,NA,569.99
FL00185,SkyWest Airlines,LAX,LAS,18-06-2024,First Class,27,2,JFK,MCO,2359.2
FL00186,Spirit Airlines,DTW,SEA,25-05-2024,First Class,102,1,SFO,NA,2003.01
FL00187,Spirit Airlines,BWI,DFW,04-11-2024,Business,23,1,ORD,NA,1342.27
FL00188,Endeavor Air,SEA,ORD,03-07-2024,Economy,7,0,NA,NA,626.11
FL00189,Hawaiian Airlines,PHX,MIA,02-09-2024,First Class,57,0,NA,NA,1374.78
FL00190,Endeavor Air,JFK,SFO,15-11-2024,Business,70,0,NA,NA,502.69
FL00191,Frontier Airlines,DTW,JFK,08-07-2024,First Class,5,1,DEN,NA,1669.69
FL00192,Alaska Airlines,LAX,MIA,28-09-2024,Economy,165,0,NA,NA,308.98
FL00193,Spirit Airlines,BOS,MCO,22-01-2025,First Class,175,2,MIA,DEN,1191.04
FL00194,Endeavor Air,DFW,DTW,16-09-2024,Business,169,1,LAS,NA,567.67
FL00195,Republic Airways,CLT,DFW,24-09-2024,First Class,97,1,LAS,NA,826.69
FL00196,American Airlines,ATL,SEA,20-12-2024,Economy,165,0,NA,NA,391.76
FL00197,SkyWest Airlines,SFO,MCO,16-07-2024,Business,8,0,NA,NA,656.84
FL00198,United,PHX,ATL,19-04-2024,Business,173,0,NA,NA,616.76
FL00199,Endeavor Air,EWR,SEA,13-09-2024,Economy,53,0,NA,NA,423.73
FL00200,JetBlue,CLT,JFK,05-03-2024,Business,76,0,NA,NA,1012.82
FL00201,Alaska Airlines,PHX,ATL,21-12-2024,First Class,36,1,LAX,NA,1906.46
FL00202,Republic Airways,ORD,EWR,30-09-2024,First Class,60,1,MIA,NA,1620.89
FL00203,Republic Airways,BOS,SEA,31-12-2024,Business,88,0,NA,NA,882.13
FL00204,SkyWest Airlines,LAS,MCO,26-06-2024,First Class,28,0,NA,NA,1760.38
FL00205,Southwest,SEA,DCA,02-09-2024,Economy,21,0,NA,NA,803.69
FL00206,Endeavor Air,SEA,DTW,17-08-2024,Business,152,0,NA,NA,766.14
FL00207,Spirit Airlines,JFK,PHX,18-07-2024,Economy,141,0,NA,NA,309.66
FL00208,SkyWest Airlines,JFK,CLT,27-07-2024,Economy,64,2,LAX,MCO,981.4
FL00209,Spirit Airlines,IAH,DTW,12-01-2025,First Class,97,1,EWR,NA,1655.36
FL00210,Endeavor Air,ATL,MCO,17-04-2024,Economy,40,1,ORD,NA,388.81
FL00211,Southwest,DCA,DEN,07-08-2024,Economy,99,0,NA,NA,329.75
FL00212,Frontier Airlines,BOS,SFO,01-07-2024,Economy,85,1,EWR,NA,475.52
FL00213,SkyWest Airlines,DCA,MCO,02-06-2024,Business,101,2,MIA,BWI,941.22
FL00214,SkyWest Airlines,JFK,MDW,03-08-2024,Business,52,1,IAH,NA,1076.07
FL00215,SkyWest Airlines,DCA,DTW,30-05-2024,Economy,172,1,LAX,NA,386.27
FL00216,JetBlue,LAS,SFO,13-10-2024,Business,78,1,BOS,NA,969.15
FL00217,Spirit Airlines,DEN,EWR,14-01-2025,Economy,149,1,ATL,NA,850.8
FL00218,Alaska Airlines,ORD,DFW,21-12-2024,Economy,132,1,BOS,NA,756.59
FL00219,Republic Airways,IAH,ATL,08-12-2024,Economy,42,0,NA,NA,514.66
FL00220,American Airlines,PHX,ORD,25-04-2024,First Class,71,2,SFO,BWI,1161.32
FL00221,Endeavor Air,DEN,SFO,13-11-2024,First Class,75,1,LAS,NA,1871.97
FL00222,Endeavor Air,DCA,LAX,28-05-2024,Economy,12,0,NA,NA,930.2
FL00223,American Airlines,ATL,SFO,25-07-2024,Business,166,0,NA,NA,642.44
FL00224,Endeavor Air,MDW,LAS,07-04-2024,Economy,74,2,LAX,BWI,990.63
FL00225,American Airlines,ORD,LAS,16-04-2024,Economy,142,1,EWR,NA,685.77
FL00226,Endeavor Air,ATL,ORD,04-08-2024,Economy,96,1,IAH,NA,935.18
FL00227,Republic Airways,JFK,MDW,23-01-2025,Business,137,0,NA,NA,808.51
FL00228,JetBlue,MDW,IAH,12-04-2024,Economy,89,1,DTW,NA,445.56
FL00229,Spirit Airlines,DTW,MIA,31-10-2024,First Class,91,1,SFO,NA,1406.85
FL00230,Hawaiian Airlines,LAX,DEN,07-10-2024,Economy,80,1,ATL,NA,465.95
FL00231,JetBlue,MIA,BWI,19-10-2024,First Class,124,0,NA,NA,1178.5
FL00232,Endeavor Air,MDW,SEA,02-03-2024,First Class,160,0,NA,NA,1278.23
FL00233,SkyWest Airlines,DFW,IAH,13-12-2024,First Class,30,1,JFK,NA,1360.75
FL00234,Southwest,LAX,BOS,21-08-2024,Economy,176,2,SFO,PHX,531.47
FL00235,Alaska Airlines,BOS,DFW,27-05-2024,Economy,96,1,LAS,NA,627.77
FL00236,Delta,ATL,LAX,02-08-2024,First Class,162,1,LAS,NA,869.42
FL00237,American Airlines,EWR,LAS,19-08-2024,Business,38,1,DCA,NA,864.25
FL00238,JetBlue,JFK,LAS,29-10-2024,Business,68,0,NA,NA,1245.6
FL00239,SkyWest Airlines,DTW,JFK,19-10-2024,Business,89,0,NA,NA,1345.67
FL00240,Southwest,MCO,MIA,15-01-2025,Economy,175,2,PHX,DFW,507.92
FL00241,United,EWR,DFW,26-08-2024,Business,51,0,NA,NA,987.95
FL00242,SkyWest Airlines,IAH,BWI,04-07-2024,Business,13,1,DFW,NA,1381.61
FL00243,American Airlines,LAX,BOS,16-10-2024,Business,172,1,EWR,NA,740.86
FL00244,Delta,BWI,DEN,04-06-2024,First Class,129,1,SEA,NA,1222.76
FL00245,Southwest,BOS,DFW,11-09-2024,Business,71,0,NA,NA,505.41
FL00246,Endeavor Air,ORD,MCO,14-06-2024,Economy,160,0,NA,NA,385.71
FL00247,American Airlines,IAH,DEN,20-10-2024,Business,171,0,NA,NA,939
FL00248,JetBlue,BOS,PHX,12-10-2024,Business,102,2,LAX,ORD,994.42
FL00249,JetBlue,MIA,MCO,16-11-2024,Economy,175,0,NA,NA,321.45
FL00250,SkyWest Airlines,MIA,EWR,11-10-2024,Business,17,1,MCO,NA,1423.63
FL00251,Frontier Airlines,CLT,DCA,06-07-2024,First Class,72,1,SFO,NA,1701.84
FL00252,Spirit Airlines,JFK,DCA,07-04-2024,First Class,142,0,NA,NA,915.05
FL00253,SkyWest Airlines,JFK,PHX,27-11-2024,First Class,120,1,EWR,NA,1517.42
FL00254,JetBlue,DCA,DEN,24-06-2024,First Class,43,2,LAX,SEA,2136.1
FL00255,Delta,BWI,JFK,08-03-2024,First Class,96,2,DTW,IAH,1521.91
FL00256,Endeavor Air,JFK,LAS,01-08-2024,Economy,10,1,DEN,NA,757.94
FL00257,Alaska Airlines,MDW,ATL,24-06-2024,First Class,12,1,BOS,NA,1842.25
FL00258,Spirit Airlines,DTW,ORD,28-01-2025,First Class,2,2,CLT,BWI,2353.09
FL00259,SkyWest Airlines,DFW,DCA,20-04-2024,Business,2,0,NA,NA,936.43
FL00260,American Airlines,SFO,MIA,16-10-2024,Economy,40,2,CLT,IAH,788.95
FL00261,JetBlue,BOS,MCO,03-10-2024,Economy,2,0,NA,NA,1250.93
FL00262,Hawaiian Airlines,JFK,DTW,05-10-2024,Business,99,2,PHX,BWI,843.58
FL00263,JetBlue,MDW,BOS,16-12-2024,Business,147,1,MIA,NA,624.51
FL00264,Frontier Airlines,ORD,DFW,15-11-2024,First Class,152,1,SEA,NA,1584.58
FL00265,JetBlue,LAS,SFO,20-05-2024,Economy,110,0,NA,NA,168.46
FL00266,Spirit Airlines,PHX,MDW,24-06-2024,Economy,36,0,NA,NA,738.57
FL00267,Southwest,MDW,PHX,03-09-2024,First Class,32,0,NA,NA,1197.8
FL00268,Delta,BWI,MDW,10-12-2024,Business,19,1,DCA,NA,1838.29
FL00269,American Airlines,LAS,DFW,28-08-2024,First Class,166,1,ORD,NA,1018.15
FL00270,American Airlines,DTW,LAS,05-01-2025,Business,158,1,ATL,NA,944.84
FL00271,Delta,ORD,CLT,26-04-2024,First Class,27,0,NA,NA,1829.75
FL00272,American Airlines,CLT,DCA,15-06-2024,Business,96,0,NA,NA,984.45
FL00273,Delta,ATL,MIA,23-12-2024,First Class,105,0,NA,NA,932.64
FL00274,Frontier Airlines,PHX,EWR,17-04-2024,Economy,39,2,ATL,JFK,1157.34
FL00275,American Airlines,DFW,EWR,16-12-2024,Economy,46,1,BOS,NA,1047.99
FL00276,United,DTW,ORD,04-12-2024,Economy,119,1,ATL,NA,470.52
FL00277,Delta,CLT,MCO,12-01-2025,Economy,57,1,DFW,NA,725.31
FL00278,Delta,SEA,JFK,30-09-2024,Economy,33,0,NA,NA,654.03
FL00279,JetBlue,PHX,MIA,19-03-2024,Business,177,2,ATL,SFO,577.7
FL00280,Hawaiian Airlines,BWI,SEA,24-05-2024,Economy,78,0,NA,NA,263.04
FL00281,SkyWest Airlines,PHX,DTW,14-11-2024,Economy,170,0,NA,NA,194.18
FL00282,Endeavor Air,DFW,PHX,06-01-2025,Business,128,2,JFK,EWR,1352.55
FL00283,Alaska Airlines,DCA,LAX,13-07-2024,Business,157,0,NA,NA,809.43
FL00284,Endeavor Air,IAH,ATL,20-12-2024,First Class,20,0,NA,NA,1855.77
FL00285,Endeavor Air,SFO,DFW,22-10-2024,Business,148,1,EWR,NA,995.21
FL00286,Alaska Airlines,MIA,BOS,15-10-2024,Business,136,1,ATL,NA,989.91
FL00287,Hawaiian Airlines,BWI,LAX,01-05-2024,Business,57,1,JFK,NA,1306.04
FL00288,United,DCA,DEN,05-01-2025,First Class,143,0,NA,NA,816.19
FL00289,Southwest,DTW,CLT,17-10-2024,First Class,24,1,SFO,NA,2196.02
FL00290,Republic Airways,DFW,CLT,23-07-2024,Economy,59,2,EWR,ATL,799.33
FL00291,Republic Airways,SFO,MCO,01-01-2025,Economy,169,0,NA,NA,371.27
FL00292,United,JFK,DCA,23-05-2024,Business,135,2,BOS,EWR,869.72
FL00293,Spirit Airlines,IAH,CLT,29-09-2024,Economy,39,1,BWI,NA,945.15
FL00294,United,DEN,ATL,03-07-2024,Business,93,0,NA,NA,1144.25
FL00295,Delta,JFK,IAH,08-12-2024,Economy,4,1,SEA,NA,548.4
FL00296,Spirit Airlines,MIA,JFK,25-06-2024,Economy,166,0,NA,NA,199.86
FL00297,United,LAX,MIA,27-10-2024,Business,130,0,NA,NA,694.52
FL00298,SkyWest Airlines,PHX,CLT,15-07-2024,Economy,146,1,LAX,NA,603.85
FL00299,Spirit Airlines,MIA,PHX,28-03-2024,Economy,133,0,NA,NA,328.53
FL00300,SkyWest Airlines,PHX,DEN,03-08-2024,Economy,95,0,NA,NA,342.02
